"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,16.451050,3.805020,"ns/op",1
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,17.525175,3.463789,"ns/op",10
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,20.415464,7.452279,"ns/op",100
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,17.885752,2.036141,"ns/op",1000
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,18.003935,2.828329,"ns/op",10000
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,17.639039,2.179718,"ns/op",100000
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,17.793056,3.324212,"ns/op",1
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,22.617323,5.222838,"ns/op",10
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,22.060138,5.907428,"ns/op",100
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,30.428480,7.570671,"ns/op",1000
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,42.846341,6.465303,"ns/op",10000
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,135.135584,22.372628,"ns/op",100000
"com.lineate.school.SearchBenchmark.ordered","avgt",1,5,15.536804,1.564290,"ns/op",1
"com.lineate.school.SearchBenchmark.ordered","avgt",1,5,37.296045,7.058773,"ns/op",10
"com.lineate.school.SearchBenchmark.ordered","avgt",1,5,58.397130,10.688364,"ns/op",100
"com.lineate.school.SearchBenchmark.ordered","avgt",1,5,192.177007,57.233829,"ns/op",1000
"com.lineate.school.SearchBenchmark.ordered","avgt",1,5,1479.159179,191.507975,"ns/op",10000
"com.lineate.school.SearchBenchmark.ordered","avgt",1,5,15667.783223,4868.861580,"ns/op",100000
"com.lineate.school.SearchBenchmark.orderedBinary","avgt",1,5,16.616800,6.370991,"ns/op",1
"com.lineate.school.SearchBenchmark.orderedBinary","avgt",1,5,44.273040,10.049826,"ns/op",10
"com.lineate.school.SearchBenchmark.orderedBinary","avgt",1,5,65.573712,14.072665,"ns/op",100
"com.lineate.school.SearchBenchmark.orderedBinary","avgt",1,5,95.456864,13.327691,"ns/op",1000
"com.lineate.school.SearchBenchmark.orderedBinary","avgt",1,5,127.201077,16.398667,"ns/op",10000
"com.lineate.school.SearchBenchmark.orderedBinary","avgt",1,5,147.570441,14.455496,"ns/op",100000
"com.lineate.school.SearchBenchmark.randomized","avgt",1,5,16.364797,2.204984,"ns/op",1
"com.lineate.school.SearchBenchmark.randomized","avgt",1,5,36.953262,8.101024,"ns/op",10
"com.lineate.school.SearchBenchmark.randomized","avgt",1,5,58.459221,24.162981,"ns/op",100
"com.lineate.school.SearchBenchmark.randomized","avgt",1,5,192.052751,52.740391,"ns/op",1000
"com.lineate.school.SearchBenchmark.randomized","avgt",1,5,1573.548167,390.612690,"ns/op",10000
"com.lineate.school.SearchBenchmark.randomized","avgt",1,5,15054.180716,1895.028965,"ns/op",100000
"com.lineate.school.SearchBenchmark.treeSet","avgt",1,5,17.176836,4.889115,"ns/op",1
"com.lineate.school.SearchBenchmark.treeSet","avgt",1,5,50.040031,16.938207,"ns/op",10
"com.lineate.school.SearchBenchmark.treeSet","avgt",1,5,88.587195,31.294876,"ns/op",100
"com.lineate.school.SearchBenchmark.treeSet","avgt",1,5,123.820163,36.716908,"ns/op",1000
"com.lineate.school.SearchBenchmark.treeSet","avgt",1,5,209.270848,66.038708,"ns/op",10000
"com.lineate.school.SearchBenchmark.treeSet","avgt",1,5,510.179775,106.903773,"ns/op",100000
